d,N,seed,mse
5,1,0,215.28019901875697
5,1,1,245.89078663806612
5,1,2,240.6673822026266
5,1,3,252.13111824270447
5,1,4,233.98638185200014
5,1,5,238.32286206029247
5,1,6,216.81595032197947
5,1,7,237.23324023734298
5,3,0,80.69985635572802
5,3,1,75.28909159671986
5,3,2,79.5649601420882
5,3,3,79.03699724689508
5,3,4,75.64680382715349
5,3,5,78.33265688620048
5,3,6,83.86446520311964
5,3,7,80.98416045981197
5,10,0,23.999999671071286
5,10,1,25.926622034035475
5,10,2,24.70366158803588
5,10,3,23.5021516715851
5,10,4,23.895534563051466
5,10,5,25.995071725560386
5,10,6,24.320626008826068
5,10,7,24.173457643302932
5,30,0,8.695603191695966
5,30,1,9.597286461468121
5,30,2,9.262450517799017
5,30,3,9.1826183316882
5,30,4,9.92410793962444
5,30,5,9.35051915014638
5,30,6,9.589380819368335
5,30,7,9.149004622090146
5,100,0,3.5601289635763465
5,100,1,3.5763641003900877
5,100,2,3.6802245074883135
5,100,3,3.8229931937579216
5,100,4,3.7833627525539786
5,100,5,3.831816841671781
5,100,6,3.8487189495232976
5,100,7,3.7094309679223287
5,300,0,2.2497108456557853
5,300,1,2.2348997537873343
5,300,2,2.140286767761295
5,300,3,2.2123126892896883
5,300,4,2.1633398558715933
5,300,5,2.1990516505709303
5,300,6,2.152825607043412
5,300,7,2.185369088842806
5,1000,0,1.6416628519626033
5,1000,1,1.6762646571685824
5,1000,2,1.6913140801311901
5,1000,3,1.6250800936364502
5,1000,4,1.6504998047691273
5,1000,5,1.6623645196104346
5,1000,6,1.6647183481678007
5,1000,7,1.6474862379117488
