d,N,seed,mse
1,1,0,150.00287534255884
1,1,1,168.29527565285045
1,1,2,165.064378415588
1,1,3,174.08369243706878
1,1,4,162.94431570493964
1,1,5,163.91879731165253
1,1,6,152.09222279979502
1,1,7,161.16702903575614
1,3,0,56.675062215406655
1,3,1,53.10514545722216
1,3,2,56.10104111405661
1,3,3,55.77397088488508
1,3,4,53.41071769634053
1,3,5,54.33444191240878
1,3,6,59.198251501102725
1,3,7,56.85058670603041
1,10,0,17.86284529718027
1,10,1,18.664388928072594
1,10,2,18.150647438198902
1,10,3,17.531823708273734
1,10,4,17.911225589493785
1,10,5,19.233377020189412
1,10,6,17.834579868566102
1,10,7,17.797588618055258
1,30,0,7.315637623150377
1,30,1,7.788406824465505
1,30,2,7.699996846526734
1,30,3,7.534901634203702
1,30,4,8.15198309960149
1,30,5,7.581758841232683
1,30,6,7.649862481286717
1,30,7,7.4080351208127375
1,100,0,3.705334428240802
1,100,1,3.6989619007778805
1,100,2,3.76765725096282
1,100,3,3.8865728661695473
1,100,4,3.856097900966429
1,100,5,3.9494676523342958
1,100,6,3.937844889400547
1,100,7,3.791486278945962
1,300,0,2.784609400588148
1,300,1,2.7660573985107915
1,300,2,2.721718172477436
1,300,3,2.7665437975627074
1,300,4,2.7369327664518357
1,300,5,2.7705263497530974
1,300,6,2.7161010722549412
1,300,7,2.751198410869066
1,1000,0,2.363277655373752
1,1000,1,2.4055909594652887
1,1000,2,2.417145886155174
1,1000,3,2.35758255824277
1,1000,4,2.376227028132717
1,1000,5,2.391998835650598
1,1000,6,2.4091672961798407
1,1000,7,2.38650808054531
