d,N,seed,mse
0,1,0,116.69538385276294
0,1,1,128.16543982487423
0,1,2,126.59346385760624
0,1,3,133.57649162806507
0,1,4,124.9967196871115
0,1,5,124.91904363917924
0,1,6,116.7050233362234
0,1,7,122.44366902469923
0,3,0,45.27317956115374
0,3,1,43.217177310533195
0,3,2,44.41912241231132
0,3,3,44.41001522629756
0,3,4,43.18057937238374
0,3,5,43.48718176094977
0,3,6,47.27909172848609
0,3,7,44.955464484407216
0,10,0,16.168787756929557
0,10,1,16.266467909452608
0,10,2,16.4331552527221
0,10,3,15.995695929989749
0,10,4,16.104209178109016
0,10,5,16.852368018559964
0,10,6,16.34434876941286
0,10,7,16.074306582889488
0,30,0,8.306939779226582
0,30,1,8.55506892085905
0,30,2,8.45771080284408
0,30,3,8.383565527830706
0,30,4,8.89836397977233
0,30,5,8.399707281796392
0,30,6,8.381334530522345
0,30,7,8.29199770167698
0,100,0,5.499364295045955
0,100,1,5.4562214392491875
0,100,2,5.544061963373283
0,100,3,5.641305870027954
0,100,4,5.652179187958785
0,100,5,5.60063750103387
0,100,6,5.6442724810236875
0,100,7,5.536338852874301
0,300,0,4.768932428219505
0,300,1,4.776340090613389
0,300,2,4.767751735023039
0,300,3,4.719699341440901
0,300,4,4.766084703051468
0,300,5,4.796590133772575
0,300,6,4.677763286983484
0,300,7,4.72162092691836
0,1000,0,4.5297058729471535
0,1000,1,4.45589291062375
0,1000,2,4.546300754170249
0,1000,3,4.430048188697098
0,1000,4,4.502354216207961
0,1000,5,4.482797646847609
0,1000,6,4.477500437077169
0,1000,7,4.466897842741493
