controller,N,band,seed,power
"RES-slow (d=2, covers slow)",100,slow,0,0.018114784495914735
"RES-slow (d=2, covers slow)",100,slow,1,0.015264365603141051
"RES-slow (d=2, covers slow)",100,slow,2,0.01656379234937195
"RES-slow (d=2, covers slow)",100,slow,3,0.019146702319382283
"RES-slow (d=2, covers slow)",100,slow,4,0.01449972439597589
"RES-slow (d=2, covers slow)",100,slow,5,0.017662808194619933
"RES-slow (d=2, covers slow)",100,slow,6,0.018257176112189202
"RES-slow (d=2, covers slow)",100,slow,7,0.01382438929808236
"RES-slow (d=2, covers slow)",100,mid,0,1.3818505110669679
"RES-slow (d=2, covers slow)",100,mid,1,1.4428163506134244
"RES-slow (d=2, covers slow)",100,mid,2,1.4057725122333395
"RES-slow (d=2, covers slow)",100,mid,3,1.369632174089853
"RES-slow (d=2, covers slow)",100,mid,4,1.4305381306599994
"RES-slow (d=2, covers slow)",100,mid,5,1.4182418438953468
"RES-slow (d=2, covers slow)",100,mid,6,1.469580522099097
"RES-slow (d=2, covers slow)",100,mid,7,1.3603656287006929
"RES-slow (d=2, covers slow)",100,white,0,0.2160398288107283
"RES-slow (d=2, covers slow)",100,white,1,0.2069757909191552
"RES-slow (d=2, covers slow)",100,white,2,0.21140771530364158
"RES-slow (d=2, covers slow)",100,white,3,0.21065174455381752
"RES-slow (d=2, covers slow)",100,white,4,0.2003278909322562
"RES-slow (d=2, covers slow)",100,white,5,0.20588401803137155
"RES-slow (d=2, covers slow)",100,white,6,0.20275147130653043
"RES-slow (d=2, covers slow)",100,white,7,0.2123302497656325
"RES-slow (d=2, covers slow)",1000,slow,0,0.013856145588878781
"RES-slow (d=2, covers slow)",1000,slow,1,0.013139874672982072
"RES-slow (d=2, covers slow)",1000,slow,2,0.013274808269424274
"RES-slow (d=2, covers slow)",1000,slow,3,0.013986631036375867
"RES-slow (d=2, covers slow)",1000,slow,4,0.013038404452053499
"RES-slow (d=2, covers slow)",1000,slow,5,0.013164195129759304
"RES-slow (d=2, covers slow)",1000,slow,6,0.01383321816415909
"RES-slow (d=2, covers slow)",1000,slow,7,0.014616046963459754
"RES-slow (d=2, covers slow)",1000,mid,0,1.3505927354908709
"RES-slow (d=2, covers slow)",1000,mid,1,1.3815232468552898
"RES-slow (d=2, covers slow)",1000,mid,2,1.339243111242962
"RES-slow (d=2, covers slow)",1000,mid,3,1.3715181677972301
"RES-slow (d=2, covers slow)",1000,mid,4,1.3479204420916497
"RES-slow (d=2, covers slow)",1000,mid,5,1.3696672245440198
"RES-slow (d=2, covers slow)",1000,mid,6,1.359142630022704
"RES-slow (d=2, covers slow)",1000,mid,7,1.356024301814332
"RES-slow (d=2, covers slow)",1000,white,0,0.024823542152652436
"RES-slow (d=2, covers slow)",1000,white,1,0.023839324144024586
"RES-slow (d=2, covers slow)",1000,white,2,0.022864352280937212
"RES-slow (d=2, covers slow)",1000,white,3,0.02340837962971141
"RES-slow (d=2, covers slow)",1000,white,4,0.023751021255537953
"RES-slow (d=2, covers slow)",1000,white,5,0.022713171777509755
"RES-slow (d=2, covers slow)",1000,white,6,0.023315217122790333
"RES-slow (d=2, covers slow)",1000,white,7,0.022736311681498013
"RES-mid (d=2, covers mid)",10,slow,0,0.5399395598081019
"RES-mid (d=2, covers mid)",10,slow,1,0.6789619076652594
"RES-mid (d=2, covers mid)",10,slow,2,0.5760211286530483
"RES-mid (d=2, covers mid)",10,slow,3,0.5854773394858983
"RES-mid (d=2, covers mid)",10,slow,4,0.5569915562106529
"RES-mid (d=2, covers mid)",10,slow,5,0.5970323256052754
"RES-mid (d=2, covers mid)",10,slow,6,0.6600264189618579
"RES-mid (d=2, covers mid)",10,slow,7,0.5307477387908079
"RES-mid (d=2, covers mid)",10,mid,0,0.35090674693393387
"RES-mid (d=2, covers mid)",10,mid,1,0.4783945949074328
"RES-mid (d=2, covers mid)",10,mid,2,0.4886334036235563
"RES-mid (d=2, covers mid)",10,mid,3,0.48621922062322404
"RES-mid (d=2, covers mid)",10,mid,4,0.42866697677781174
"RES-mid (d=2, covers mid)",10,mid,5,0.47006142239012777
"RES-mid (d=2, covers mid)",10,mid,6,0.417989760317214
"RES-mid (d=2, covers mid)",10,mid,7,0.42953520964508796
"RES-mid (d=2, covers mid)",10,white,0,1.9983568744220384
"RES-mid (d=2, covers mid)",10,white,1,1.970677725462227
"RES-mid (d=2, covers mid)",10,white,2,2.1030113848251384
"RES-mid (d=2, covers mid)",10,white,3,1.7870815739981252
"RES-mid (d=2, covers mid)",10,white,4,2.030300254179026
"RES-mid (d=2, covers mid)",10,white,5,2.004285580044848
"RES-mid (d=2, covers mid)",10,white,6,2.121715616708837
"RES-mid (d=2, covers mid)",10,white,7,1.9484061272319237
"RES-mid (d=2, covers mid)",100,slow,0,0.5971695146829594
"RES-mid (d=2, covers mid)",100,slow,1,0.5832247051656436
"RES-mid (d=2, covers mid)",100,slow,2,0.5902098387934953
"RES-mid (d=2, covers mid)",100,slow,3,0.606599168526923
"RES-mid (d=2, covers mid)",100,slow,4,0.5769047737588249
"RES-mid (d=2, covers mid)",100,slow,5,0.6053153450305596
"RES-mid (d=2, covers mid)",100,slow,6,0.5955536693710669
"RES-mid (d=2, covers mid)",100,slow,7,0.5689140666358885
"RES-mid (d=2, covers mid)",100,mid,0,0.07310699209899785
"RES-mid (d=2, covers mid)",100,mid,1,0.0740324605733625
"RES-mid (d=2, covers mid)",100,mid,2,0.07855848326265406
"RES-mid (d=2, covers mid)",100,mid,3,0.07094138998778532
"RES-mid (d=2, covers mid)",100,mid,4,0.07831166877051322
"RES-mid (d=2, covers mid)",100,mid,5,0.07830901336759512
"RES-mid (d=2, covers mid)",100,mid,6,0.08491743095740308
"RES-mid (d=2, covers mid)",100,mid,7,0.06776708357419049
"RES-mid (d=2, covers mid)",100,white,0,0.21600740381008152
"RES-mid (d=2, covers mid)",100,white,1,0.20694618274190266
"RES-mid (d=2, covers mid)",100,white,2,0.21137648000417456
"RES-mid (d=2, covers mid)",100,white,3,0.21062085547889664
"RES-mid (d=2, covers mid)",100,white,4,0.2003000573945112
"RES-mid (d=2, covers mid)",100,white,5,0.20585420596850248
"RES-mid (d=2, covers mid)",100,white,6,0.20272352823236653
"RES-mid (d=2, covers mid)",100,white,7,0.21229978234331162
"RES-mid (d=2, covers mid)",1000,slow,0,0.5773216264973217
"RES-mid (d=2, covers mid)",1000,slow,1,0.5714905287517057
"RES-mid (d=2, covers mid)",1000,slow,2,0.5730107578569257
"RES-mid (d=2, covers mid)",1000,slow,3,0.5782496826190524
"RES-mid (d=2, covers mid)",1000,slow,4,0.5784663869559219
"RES-mid (d=2, covers mid)",1000,slow,5,0.5771191856764157
"RES-mid (d=2, covers mid)",1000,slow,6,0.5790399815374493
"RES-mid (d=2, covers mid)",1000,slow,7,0.5832354507524082
"RES-mid (d=2, covers mid)",1000,mid,0,0.03628822698384275
"RES-mid (d=2, covers mid)",1000,mid,1,0.03849187855000696
"RES-mid (d=2, covers mid)",1000,mid,2,0.03549857503309796
"RES-mid (d=2, covers mid)",1000,mid,3,0.03801299203109356
"RES-mid (d=2, covers mid)",1000,mid,4,0.033457668958220284
"RES-mid (d=2, covers mid)",1000,mid,5,0.04017863403372002
"RES-mid (d=2, covers mid)",1000,mid,6,0.038308724724964806
"RES-mid (d=2, covers mid)",1000,mid,7,0.037002189471428686
"RES-mid (d=2, covers mid)",1000,white,0,0.024819910976824563
"RES-mid (d=2, covers mid)",1000,white,1,0.02383605140521425
"RES-mid (d=2, covers mid)",1000,white,2,0.02286101628114078
"RES-mid (d=2, covers mid)",1000,white,3,0.02340490670132581
"RES-mid (d=2, covers mid)",1000,white,4,0.023747843377429467
"RES-mid (d=2, covers mid)",1000,white,5,0.02271002452941648
"RES-mid (d=2, covers mid)",1000,white,6,0.023311947477533086
"RES-mid (d=2, covers mid)",1000,white,7,0.022733370688609398
"RES-both (d=4, covers both)",10,slow,0,0.020173299850291183
"RES-both (d=4, covers both)",10,slow,1,0.054485580486893
"RES-both (d=4, covers both)",10,slow,2,0.0307421372330918
"RES-both (d=4, covers both)",10,slow,3,0.02535767860248969
"RES-both (d=4, covers both)",10,slow,4,0.030084525988141264
"RES-both (d=4, covers both)",10,slow,5,0.036990956260177
"RES-both (d=4, covers both)",10,slow,6,0.039517968513361756
"RES-both (d=4, covers both)",10,slow,7,0.02356052188679475
"RES-both (d=4, covers both)",10,mid,0,0.3632536413041922
"RES-both (d=4, covers both)",10,mid,1,0.4950863101387958
"RES-both (d=4, covers both)",10,mid,2,0.5053597487004156
"RES-both (d=4, covers both)",10,mid,3,0.4963890923604587
"RES-both (d=4, covers both)",10,mid,4,0.4389299477742914
"RES-both (d=4, covers both)",10,mid,5,0.48273655682782585
"RES-both (d=4, covers both)",10,mid,6,0.4263780775599606
"RES-both (d=4, covers both)",10,mid,7,0.44139726287651926
"RES-both (d=4, covers both)",10,white,0,1.9874395839374317
"RES-both (d=4, covers both)",10,white,1,1.9610693614371855
"RES-both (d=4, covers both)",10,white,2,2.090711348060276
"RES-both (d=4, covers both)",10,white,3,1.778772836150661
"RES-both (d=4, covers both)",10,white,4,2.0187500424714684
"RES-both (d=4, covers both)",10,white,5,1.993261718017711
"RES-both (d=4, covers both)",10,white,6,2.10873904513099
"RES-both (d=4, covers both)",10,white,7,1.9377581964126755
"RES-both (d=4, covers both)",100,slow,0,0.017964345974292098
"RES-both (d=4, covers both)",100,slow,1,0.015099984968779477
"RES-both (d=4, covers both)",100,slow,2,0.016468960307140325
"RES-both (d=4, covers both)",100,slow,3,0.019160415752368758
"RES-both (d=4, covers both)",100,slow,4,0.01440682164348964
"RES-both (d=4, covers both)",100,slow,5,0.01750485332448167
"RES-both (d=4, covers both)",100,slow,6,0.018038236076912673
"RES-both (d=4, covers both)",100,slow,7,0.013631386567289083
"RES-both (d=4, covers both)",100,mid,0,0.07368037496678877
"RES-both (d=4, covers both)",100,mid,1,0.07497311588815239
"RES-both (d=4, covers both)",100,mid,2,0.07976370248663757
"RES-both (d=4, covers both)",100,mid,3,0.0721141425142883
"RES-both (d=4, covers both)",100,mid,4,0.07950636791085842
"RES-both (d=4, covers both)",100,mid,5,0.07959327151361487
"RES-both (d=4, covers both)",100,mid,6,0.08515342812626746
"RES-both (d=4, covers both)",100,mid,7,0.06829873334918615
"RES-both (d=4, covers both)",100,white,0,0.21462545916303713
"RES-both (d=4, covers both)",100,white,1,0.20576115674794107
"RES-both (d=4, covers both)",100,white,2,0.21007038318734897
"RES-both (d=4, covers both)",100,white,3,0.20942396316838816
"RES-both (d=4, covers both)",100,white,4,0.19920517945654256
"RES-both (d=4, covers both)",100,white,5,0.20464401937003662
"RES-both (d=4, covers both)",100,white,6,0.2017016442541896
"RES-both (d=4, covers both)",100,white,7,0.21105612810806332
"RES-both (d=4, covers both)",1000,slow,0,0.01371084096246381
"RES-both (d=4, covers both)",1000,slow,1,0.013016064114893576
"RES-both (d=4, covers both)",1000,slow,2,0.013134000283264079
"RES-both (d=4, covers both)",1000,slow,3,0.013873521015144934
"RES-both (d=4, covers both)",1000,slow,4,0.013010529778506665
"RES-both (d=4, covers both)",1000,slow,5,0.013096734528677555
"RES-both (d=4, covers both)",1000,slow,6,0.013704999574811522
"RES-both (d=4, covers both)",1000,slow,7,0.014467916940460587
"RES-both (d=4, covers both)",1000,mid,0,0.03614487379848017
"RES-both (d=4, covers both)",1000,mid,1,0.03844345674985067
"RES-both (d=4, covers both)",1000,mid,2,0.03513801576466827
"RES-both (d=4, covers both)",1000,mid,3,0.03793070490037237
"RES-both (d=4, covers both)",1000,mid,4,0.0334594556351939
"RES-both (d=4, covers both)",1000,mid,5,0.03993255679940098
"RES-both (d=4, covers both)",1000,mid,6,0.03802916065710107
"RES-both (d=4, covers both)",1000,mid,7,0.03668666950885377
"RES-both (d=4, covers both)",1000,white,0,0.0246266910509118
"RES-both (d=4, covers both)",1000,white,1,0.023679796966661917
"RES-both (d=4, covers both)",1000,white,2,0.022685257471321475
"RES-both (d=4, covers both)",1000,white,3,0.02320877565578345
"RES-both (d=4, covers both)",1000,white,4,0.023596702302664918
"RES-both (d=4, covers both)",1000,white,5,0.022543708188107605
"RES-both (d=4, covers both)",1000,white,6,0.023152629354304496
"RES-both (d=4, covers both)",1000,white,7,0.02258566623161587
