controller,N,seed,mse,state_dim
PI,3,10,17.94997548633028,1
PI,3,11,18.12014516477573,1
PI,10,0,5.392818514337749,1
PI,10,1,5.421432713252514,1
PI,10,2,5.63308569772908,1
PI,10,3,5.873305832647892,1
PI,10,4,5.703415087141186,1
PI,10,5,5.653761242231158,1
PI,10,6,5.595046871829385,1
PI,10,7,5.373304299388667,1
PI,10,8,5.560672905345293,1
PI,10,9,5.500205770220071,1
PI,10,10,5.619492880420373,1
PI,10,11,5.26497908923086,1
PI,30,0,2.0415306972054146,1
PI,30,1,2.0446630166998667,1
PI,30,2,2.066887979599043,1
PI,30,3,1.9723165797057813,1
PI,30,4,1.9622280375527186,1
PI,30,5,2.0001701958253673,1
PI,30,6,2.2183956190894443,1
PI,30,7,1.9657941675240156,1
PI,30,8,2.043793195533489,1
PI,30,9,2.0609926807952177,1
PI,30,10,2.1544314690602393,1
PI,30,11,2.0195194457957486,1
PI,100,0,0.8398639304224822,1
PI,100,1,0.8049150498380714,1
PI,100,2,0.8141675303471178,1
PI,100,3,0.8686778729674507,1
PI,100,4,0.8576700794745925,1
PI,100,5,0.8964244478652735,1
PI,100,6,0.7991679019685075,1
PI,100,7,0.8311254296652424,1
PI,100,8,0.8338590619117403,1
PI,100,9,0.877672774832907,1
PI,100,10,0.8061234996366015,1
PI,100,11,0.8885142362054412,1
PI,300,0,0.47040615383188095,1
PI,300,1,0.4731975218033338,1
PI,300,2,0.4980246016471587,1
PI,300,3,0.4861997870507695,1
PI,300,4,0.49130010300541843,1
PI,300,5,0.4716559954663432,1
PI,300,6,0.4837547826907684,1
PI,300,7,0.47927041443172885,1
PI,300,8,0.4947055685240337,1
PI,300,9,0.4798965078667196,1
PI,300,10,0.47772709227008603,1
PI,300,11,0.48798719607859986,1
PI,1000,0,0.3789135532996001,1
PI,1000,1,0.3786824555506697,1
PI,1000,2,0.3637627309968578,1
PI,1000,3,0.36734698614880407,1
PI,1000,4,0.37519173814231316,1
PI,1000,5,0.37057611420081044,1
PI,1000,6,0.3657266714050196,1
PI,1000,7,0.36503141141827733,1
PI,1000,8,0.3764598840225345,1
PI,1000,9,0.3785040978068901,1
PI,1000,10,0.36283617300244947,1
PI,1000,11,0.3758412676987985,1
PI,3000,0,0.3340767850259345,1
PI,3000,1,0.3323395020625318,1
PI,3000,2,0.33780331548815373,1
PI,3000,3,0.3363571358118224,1
PI,3000,4,0.3382508616711461,1
PI,3000,5,0.33348718949889616,1
PI,3000,6,0.33775336535316075,1
PI,3000,7,0.3385613472435623,1
PI,3000,8,0.33022871933901676,1
PI,3000,9,0.33550343089800433,1
PI,3000,10,0.3374597837225449,1
PI,3000,11,0.33118106106787804,1
PID,1,0,98.5606141929356,2
PID,1,1,94.62927134094451,2
PID,1,2,94.29424303650862,2
PID,1,3,89.9739319777019,2
PID,1,4,92.94044229951507,2
PID,1,5,100.50248869617675,2
PID,1,6,95.20488444732365,2
PID,1,7,99.35283826805812,2
PID,1,8,90.20793360138958,2
PID,1,9,94.23369363498504,2
PID,1,10,91.41198930496986,2
PID,1,11,97.09879739694364,2
PID,3,0,29.79853154722825,2
PID,3,1,29.219249194594262,2
PID,3,2,32.089517359121956,2
PID,3,3,33.501147375387234,2
PID,3,4,29.61726017991221,2
PID,3,5,31.498835066900984,2
PID,3,6,33.9331643170784,2
PID,3,7,32.43277698572267,2
PID,3,8,29.44750614392213,2
PID,3,9,32.17325451769129,2
PID,3,10,32.60132761132335,2
PID,3,11,32.93491295562894,2
PID,10,0,9.417383886780398,2
PID,10,1,9.979495443468164,2
PID,10,2,9.600114374701613,2
PID,10,3,10.098551262366609,2
PID,10,4,10.005572344086685,2
PID,10,5,9.566681123082642,2
PID,10,6,9.81169613080595,2
PID,10,7,9.07062778943206,2
PID,10,8,9.78053353961339,2
PID,10,9,9.723583466315924,2
PID,10,10,9.362420082422279,2
PID,10,11,8.696644816910837,2
PID,30,0,3.2842698546461895,2
PID,30,1,3.211296426082332,2
PID,30,2,3.2654699772737645,2
PID,30,3,3.0319967275443305,2
PID,30,4,3.124546407647328,2
PID,30,5,3.191306171127188,2
PID,30,6,3.455278896520455,2
PID,30,7,3.0627486227533898,2
PID,30,8,3.1507255652698194,2
PID,30,9,3.1885819463611735,2
PID,30,10,3.4402338220889837,2
PID,30,11,3.150607084788771,2
PID,100,0,1.0376055387954912,2
PID,100,1,1.0192579588256157,2
PID,100,2,1.0294902469134808,2
PID,100,3,1.076832179580348,2
PID,100,4,1.085424599653119,2
PID,100,5,1.1326165984835066,2
PID,100,6,0.9886061960244233,2
PID,100,7,1.100460366195501,2
PID,100,8,1.0577168903741667,2
PID,100,9,1.0909050197048613,2
PID,100,10,1.032126531553371,2
PID,100,11,1.1601738525504013,2
PID,300,0,0.40093671457382235,2
PID,300,1,0.39478786391792037,2
PID,300,2,0.4421731838888477,2
PID,300,3,0.4541395774212902,2
PID,300,4,0.416584740741593,2
PID,300,5,0.41373345024257197,2
PID,300,6,0.42622401620219713,2
PID,300,7,0.41155624346037534,2
PID,300,8,0.43834611566869164,2
PID,300,9,0.41731077378853354,2
PID,300,10,0.4051421323005135,2
PID,300,11,0.42889516535292527,2
PID,1000,0,0.22121208052392907,2
PID,1000,1,0.22090666866375125,2
PID,1000,2,0.19762268756293627,2
PID,1000,3,0.21375423482496206,2
PID,1000,4,0.20875319145711835,2
PID,1000,5,0.21575728683915196,2
PID,1000,6,0.21679469532846746,2
PID,1000,7,0.20569609174495354,2
PID,1000,8,0.20998561194326826,2
PID,1000,9,0.21596094370513783,2
PID,1000,10,0.20470827826640187,2
